Year,State,City,Miles,Company
1894,Kentucky,Maysville,4,Maysville Street Railroad & Transfer Co.
1894,Kentucky,Owensboro,10,Owensboro City Railroad Co.
1894,Kentucky,Paducah,8.5,Paducah Street Railway Co.
1894,Louisiana,Baton Rouge,5.75,Baton Ronge Electric Railway Co.
1894,Louisiana,Lake Charles,1.75,Lake Charles Street Railway Co.
1894,Louisiana,New Orleans,15,8T. Charles Street Railroad Co.
1894,Louisiana,New Orleans,13.5,Canal & Claiborne Railroad Co.
1894,Louisiana,New Orleans,19,New Orleans & Carrollton Railroad Co.
1894,Louisiana,New Orleans,120,"New Orleans	Traction Co."
1894,Louisiana,New Orleans,3.75,"New Orleans, Spanish Fort& Lake Railroad Co."
1894,Louisiana,New Orleans,9.5,Orleans Railroad Co
1894,Louisiana,Shreveport,1.5,Shreveport City Railroad Co.
1894,Louisiana,Shreveport,5.25,Shreveport Railway & Land Improvement Co.
1894,Maine,Augusta,8,"Augusta, Halloweil & Gardiner R. R. Co."
1894,Maine,Bangor,8.5,Bangor Street Railway Co.
1894,Maine,Bath,4.5,Bath Street Railway Co.
1894,Maine,Biddeford,6.03,Biddeford & Saco Railroad Co.
1894,Maine,Fryeburg,3,Fryeburg Horse Railroad Co.
1894,Maine,Lewiston,14,Lewiston & Auburn Horse Railroad Co.
1894,Maine,Portland,20.14,Portland Railroad Co.
1894,Maine,Rockland,14.5,"Rockland, Thotnaston & Camden Street Railway Co"
1894,Maine,Sanford,3.2,Mousam River Railroad Co.
1894,Maine,Waterville,5,Waterville & Fairfield Railway & Light Co.
1894,Maryland,Baltimore,46.75,Baltimore City Passenger Railway Co.
1894,Maryland,Baltimore,78.47,Baltimore Traction Co.
1894,Maryland,Baltimore,13,Central Passenger Railway Co.
1894,Maryland,Baltimore,61,City & Suburban By. Co.
1894,Maryland,Baltimore,25.68,Lake Roland Elevated Railway Co.
1894,Maryland,Bay Ridge,2,Arundel On The Bay Railroad.
1894,Maryland,Cumberland,6,Cumberland Electric Railway Co.
1894,Massachusetts,Attleborough,10.8,"Attleborough, North Attleborongh & Wrentham Street Railway."
1894,Massachusetts,Boston,4.23,Boston & Revere Electric Street Railway Co.
1894,Massachusetts,Boston,18.3,East Middlesex Street Railroad Co.
1894,Massachusetts,Boston,116.752,Lynn & Boston Railroad Co.
1894,Massachusetts,Boston,10.8,Malden & Melrose Railroad Co.
1894,Massachusetts,Boston,13.7,North Shore Traction Co.
1894,Massachusetts,Boston,278.4,West End Street Railway Co.
1894,Massachusetts,Brockton,21.08,Brockton Street Railway Co.
1894,Massachusetts,Cottage City,5,Cottage City Street Railway Co.
1894,Massachusetts,East Wareham,2.78,"East Wareham, Onset Bay & Point Independence Street"
1894,Massachusetts,Fall River,26.66,Fitchburg & Leominster Street Railway Co.
1894,Massachusetts,Fitchburg,13.21,Fitchburg & Leominster Street Railway Co.
1894,Massachusetts,Framingham,7.35,Framingham Union Street Railway Co.
1894,Massachusetts,Gloucester,9.09,Gloucester Street Railway Co.
1894,Massachusetts,Haverhill,33.9,Haverhill & Amesbury Street Railway Co.
1894,Massachusetts,Holyoke,8,Holyoke Street Railway Co.
1894,Massachusetts,Hull,2,Hull Street Railway Co.
1894,Massachusetts,Lawrence,43.176,"Lowell, Lawrence & Haverhill Street Railway Co."
1894,Massachusetts,Lowell,49,"Lowell, Lawrence & Haverhill Street Railway Co"
1894,Massachusetts,Marlborough,4,Marlborough Street Railway Co.
1894,Massachusetts,Milford,6.5,Milford & Ilopedale Street Railway Co.
1894,Massachusetts,Nantucket,2,Siasconset Street Railway Co.
1894,Massachusetts,Natick,6,Natick & Cochituate Street Railway Co.
1894,Massachusetts,Natick,6.14,Natick Electric Street Railway Co.
1894,Massachusetts,New Bedford,18,Union Street Railway Co.
1894,Massachusetts,Newburyport,19.73,Newburyport & Amesbury Horse Railway Co.
1894,Massachusetts,Newton,5.11,Newton & Boston Street Railway Co.
1894,Massachusetts,Newton,8.28,Newton Street Railway Co.
1894,Massachusetts,Newton,2.13,Newtonville & Watertown Street Railway Co.
1894,Massachusetts,North Abington,11,Rockland & Abington Street Railway Co.
1894,Massachusetts,North Adams,6,Hoosac Valley Street Railway Co.
1894,Massachusetts,North Woburn,7.5,North Woburn Street Railroad Co.
1894,Massachusetts,Northampton,4.75,Northampton Street Railway Co.
1894,Massachusetts,Pittsfield,3.5,Pittsfield Electric Street Railway Co.
1894,Massachusetts,Plymouth,9,Plymouth & Kingston Street Railway Co.
1894,Massachusetts,Quincy,14,Quincy Street Railway Co.
1894,Massachusetts,Springfield,34.65,Springfield Street Railway Co.
1894,Massachusetts,Taunton,14,Taunton Street Railway Co.
1894,Massachusetts,Wakefield,13,Wakefield & Stoneham Street Railway Co.
1894,Massachusetts,Walla Walla,4,Walla Walla Street Railway & Investment Co.
1894,Massachusetts,Westfield,2,Woronoco Street Railway Co.
1894,Massachusetts,Worcester,5.1,North End Street Railway Co.
1894,Massachusetts,Worcester,8.02,Worcester & Millbury Street Ry. Co
1894,Massachusetts,Worcester,7,Worcester & Shrewsbury Street Railway Co.
1894,Massachusetts,Worcester,31.5,Worcester Traction Co.
1894,Massachusetts,Worcester,14,"Worcester, Leicester & Spencer Street Ry. Co."
1894,Michigan,Adrian,2.8,Adrian City Electric Belt Railway Co.
1894,Michigan,Ann Arbor,9,Ann Arbor & Ypsilanti Street Railway Co.
1894,Michigan,Ann Arbor,5.75,The Ann Arbor Street Railway Co.
1894,Michigan,Battle Creek,8.2,Battle Creek Electric Railway Co.
1894,Michigan,Bay City,19,Bay Cities Consolidated Railway Co.
1894,Michigan,Detroit,3.75,Detroit Citizens' Street Railway Co.
1894,Michigan,Detroit,67,Detroit Suburban Railway Co.
1894,Michigan,Detroit,1.5,"Detroit, Rouge River, & Dearborn Street Railway Co."
1894,Michigan,Detroit,23.5,Fort Wayne & Belle Isle Railway Co.
1894,Michigan,Grand Rapids,25.71,Consolidated Street Railway Co.
1894,Michigan,Ironwood,5.5,Twin City General Electric Co.
1894,Michigan,Jackson,8,Jackson Street Railway Co.
1894,Michigan,Kalamazoo,12,Citizens’ Street Railway Co.
1894,Michigan,Lansing,8,Lansing City Railway Co.
1894,Michigan,Manistee,11,"Manistee, Filer City & Eastlake Railway Co."
1894,Michigan,Marquette,5,Marquette City & Presque Isle Railway Co.
1894,Michigan,Menominee,6.9,Menominee Electric Railway & Power Co.
1894,Michigan,Mt. Clemens,3.25,"Mt. Clemens Street Railway Co., Ltd."
1894,Michigan,Muskegon,15,Muskegon Railway Co.
1894,Michigan,Negaunee,4,Negaunee & Ishpeuiing Street Railway Co.
1894,Michigan,Port Huron,9,City Electric Railway Co.
1894,Michigan,Saginaw,30,Union Street Railway Co.
1894,Michigan,Saginaw,3.75,Union Street Railway Co.
1894,Minnesota,Anoka,3,Anoka Street Railway Co.
1894,Minnesota,Duluth,42,Duluth Street Railway Co.
1894,Minnesota,Duluth,4,Lakeside Railway Co.
1894,Minnesota,Duluth,6,Motor Line Improvement Co.
1894,Minnesota,Mankato,3.5,Mankato Street Railway Co.
1894,Minnesota,Minneapolis,99.506,St Paul City Railway Co.—
1894,Minnesota,Minneapolis,11.5,St. Paul & White Rear Railway Co.
1894,Minnesota,Minneapolis,122.373,Twin City Rapid Transit Co.
1894,Minnesota,St. Cloud,10,St. Cloud City Street Car Co.
1894,Minnesota,St. Cloud,3,St. Cloud City Street Car Co.
1894,Minnesota,Stillwater,5,Stillwater Street Railway Co
1894,Minnesota,Winona,4,Winona-City Railway Co.
1894,Mississippi,Greenville,6,Greenville Street Railway Co.
1894,Mississippi,Greenville,2,Greenville Street Railway Co.
1894,Mississippi,Jackson,1.5,Jackson City Railroad
1894,Mississippi,Meridian,2,Meridian Dummy Line Railway Co.
1894,Mississippi,Meridian,6,Meridian Street Railway Co.
1894,Mississippi,Natchez,2,Bluff City Railroad Co.
1894,Mississippi,Natchez,5,Natchez Street Railway Co.
1894,Missouri,Carthage,4.5,Carthage Horse Railway Co.
1894,Missouri,Clinton,2.5,Clinton Street Railway Co.
1894,Missouri,Clinton,3,Clinton Street Railway Co.
1894,Missouri,Columbus,2,Columbus Street Railway & Power Co.
1894,Missouri,Hannibal,2.5,Hannibal Railway Co.
1894,Missouri,Joplin,5,Joplin Electric Railway A Motor Co.
1894,Missouri,Kansas City,22.518,Grand Avenue Railway Co.
1894,Missouri,Kansas City,18,Kansas City & Independence Rapid Transit Railway Co.
1894,Missouri,Kansas City,20.5,Kansas City Cable Railway Co.
1894,Missouri,Kansas City,20.5,Kansas City Elevated Railway Co.
1894,Missouri,Kansas City,4,Kensington Railway Co.
1894,Missouri,Kansas City,42.39,Metropolitan Street Railway Co.
1894,Missouri,Kansas City,7,North East Street Railway Co.
